"pid","day","daysInStudy","day_zero","time_type","time_time","situation_major","weather_temperature","notification_type","engagement","S1","S2","time_time_simple"
1,1,1,0,"weekday","afternoon","working","unknown","grocery",1,0,0,"midday"
1,2,2,0,"weekday","lunch","travelling","hot","grocery",0,0,0,"midday"
1,3,3,0,"weekday","afternoon","shopping","warm","restaurant",0,0,0,"midday"
1,4,4,0,"weekend","morning","unknown","warm","grocery",0,0,0,"morning"
1,7,7,0,"weekend","breakfast","unknown","cold","restaurant",0,0,0,"morning"
1,8,8,0,"weekday","afternoon","leisure","cold","restaurant",0,0,0,"midday"
1,10,10,0,"weekday","lunch","travelling","warm","restaurant",0,0,0,"midday"
1,15,15,0,"weekday","afternoon","travelling","cold","restaurant",1,0,0,"midday"
1,16,16,0,"weekday","lunch","travelling","warm","restaurant",1,0,0,"midday"
1,17,17,0,"weekend","lunch","travelling","unknown","restaurant",0,0,0,"midday"
1,20,20,0,"weekday","afternoon","travelling","freezing","restaurant",1,0,0,"midday"
1,21,21,0,"weekday","afternoon","unknown","freezing","restaurant",1,0,0,"midday"
1,22,22,0,"weekday","beforelunch","unknown","cold","restaurant",0,0,0,"midday"
1,23,23,0,"weekday","night","travelling","warm","grocery",0,0,0,"night"
1,24,24,0,"unknown","beforelunch","working","hot","grocery",1,0,0,"midday"
1,29,29,0,"unknown","beforelunch","leisure","cold","grocery",0,0,0,"midday"
1,30,30,0,"unknown","beforelunch","travelling","freezing","grocery",0,0,0,"midday"
1,36,36,0,"weekday","afternoon","travelling","cold","grocery",1,0,0,"midday"
1,38,38,0,"weekend","breakfast","travelling","unknown","restaurant",0,0,0,"morning"
1,41,41,0,"weekday","lunch","morningrituals","cold","grocery",0,0,0,"midday"
1,42,42,0,"weekend","beforelunch","travelling","hot","grocery",0,0,0,"midday"
1,44,44,0,"weekend","afternoon","travelling","unknown","restaurant",0,0,0,"midday"
1,46,46,0,"weekday","morning","travelling","freezing","restaurant",0,0,0,"morning"
1,47,47,0,"weekend","morning","travelling","freezing","restaurant",1,0,0,"morning"
1,49,49,0,"weekday","beforelunch","travelling","warm","grocery",0,0,0,"midday"
1,50,50,0,"weekday","beforelunch","shopping","hot","restaurant",0,0,0,"midday"
1,58,58,0,"weekday","beforelunch","travelling","unknown","grocery",0,1,0,"midday"
1,61,61,0,"weekday","morning","travelling","freezing","restaurant",0,1,0,"morning"
1,62,62,0,"weekday","beforelunch","travelling","cold","grocery",0,1,0,"midday"
1,63,63,0,"weekday","afternoon","shopping","unknown","grocery",0,1,0,"midday"
1,64,64,0,"weekday","breakfast","travelling","freezing","grocery",1,1,0,"morning"
