"pid","day","daysInStudy","day_zero","time_type","time_time","situation_major","weather_temperature","notification_type","engagement","S1","S2","time_time_simple"
1,0,0,0,"weekday","dinner","shopping","cold","grocery",0,0,0,"night"
1,2,2,0,"weekday","lunch","shopping","freezing","restaurant",0,0,0,"midday"
1,5,5,0,"weekday","beforelunch","unknown","freezing","grocery",0,0,0,"midday"
1,9,9,0,"weekday","lunch","unknown","cold","grocery",1,0,0,"midday"
1,10,10,0,"weekday","breakfast","unknown","cold","grocery",0,0,0,"morning"
1,11,11,0,"weekday","beforelunch","travelling","hot","restaurant",0,0,0,"midday"
1,12,12,0,"weekday","morning","shopping","cold","grocery",0,0,0,"morning"
1,14,14,0,"weekday","afternoon","travelling","unknown","grocery",1,0,0,"midday"
1,15,15,0,"weekend","morning","travelling","warm","grocery",0,0,0,"morning"
1,16,16,0,"weekday","afternoon","leisure","cold","restaurant",0,0,0,"midday"
1,17,17,0,"weekday","lunch","travelling","cold","restaurant",1,0,0,"midday"
1,18,18,0,"weekend","afternoon","housework","unknown","grocery",1,0,0,"midday"
1,20,20,0,"weekday","morning","travelling","cold","restaurant",0,0,0,"morning"
1,24,24,0,"weekday","afternoon","travelling","cold","grocery",0,0,0,"midday"
1,25,25,0,"weekday","afternoon","travelling","cold","grocery",1,0,0,"midday"
1,26,26,0,"weekday","afternoon","working","hot","restaurant",0,0,0,"midday"
1,27,27,0,"weekend","afternoon","unknown","freezing","grocery",1,0,0,"midday"
1,31,31,0,"weekday","lunch","travelling","warm","grocery",1,0,0,"midday"
1,33,33,0,"weekend","lunch","travelling","unknown","grocery",0,0,0,"midday"
1,35,35,0,"weekday","lunch","working","hot","grocery",0,0,0,"midday"
1,37,37,0,"weekend","earlymorning","travelling","cold","grocery",1,0,0,"morning"
1,40,40,0,"weekday","afternoon","travelling","cold","restaurant",0,0,0,"midday"
1,43,43,0,"weekend","lunch","travelling","cold","grocery",1,0,0,"midday"
1,46,46,0,"weekday","beforelunch","travelling","unknown","grocery",0,0,0,"midday"
1,47,47,0,"weekday","lunch","travelling","hot","grocery",0,0,0,"midday"
1,48,48,0,"weekday","afternoon","travelling","cold","grocery",0,0,0,"midday"
1,49,49,0,"weekday","afternoon","travelling","cold","restaurant",0,0,0,"midday"
1,51,51,0,"weekend","afternoon","travelling","unknown","restaurant",0,0,0,"midday"
1,54,54,0,"weekday","afternoon","travelling","freezing","grocery",0,0,0,"midday"
1,56,56,0,"weekday","afternoon","travelling","warm","restaurant",0,0,0,"midday"
1,58,58,0,"weekend","breakfast","travelling","cold","restaurant",1,1,0,"morning"
1,59,59,0,"unknown","beforelunch","shopping","freezing","restaurant",0,1,0,"midday"
1,61,61,0,"weekday","afternoon","working","cold","restaurant",0,1,0,"midday"
1,62,62,0,"weekday","morning","travelling","unknown","grocery",0,1,0,"morning"
1,63,63,0,"weekday","lunch","travelling","cold","grocery",0,1,0,"midday"
1,66,66,0,"weekday","evening","unknown","warm","grocery",1,1,0,"night"
1,67,67,0,"weekday","afternoon","working","unknown","grocery",1,1,0,"midday"
1,69,69,0,"weekend","evening","working","cold","grocery",0,1,0,"night"
1,70,70,0,"weekday","lunch","travelling","cold","restaurant",0,1,0,"midday"
1,73,73,0,"weekday","morning","travelling","warm","restaurant",1,1,0,"morning"
1,74,74,0,"weekday","lunch","travelling","cold","grocery",0,1,0,"midday"
1,75,75,0,"weekday","night","travelling","unknown","restaurant",0,1,0,"night"
1,77,77,0,"weekday","lunch","travelling","freezing","grocery",0,1,0,"midday"
1,78,78,0,"weekend","afternoon","morningrituals","cold","grocery",0,1,0,"midday"
1,80,80,0,"weekday","morning","shopping","cold","restaurant",0,1,0,"morning"
1,85,85,0,"weekend","afternoon","travelling","freezing","grocery",0,1,0,"midday"
1,86,86,0,"weekday","lunch","shopping","freezing","grocery",0,1,0,"midday"
1,92,92,0,"weekday","beforelunch","unknown","cold","grocery",1,1,0,"midday"
1,94,94,0,"weekday","beforelunch","shopping","freezing","grocery",0,1,0,"midday"
1,97,97,0,"weekday","afternoon","travelling","cold","restaurant",0,1,0,"midday"
1,99,99,0,"weekday","beforelunch","leisure","cold","restaurant",0,1,0,"midday"
1,100,100,0,"weekday","afternoon","travelling","warm","grocery",0,1,0,"midday"
1,101,101,0,"weekday","lunch","working","unknown","restaurant",0,1,0,"midday"
1,105,105,0,"weekday","lunch","travelling","hot","grocery",0,1,0,"midday"
1,107,107,0,"weekday","lunch","leisure","hot","grocery",1,1,0,"midday"
1,108,108,0,"weekday","morning","travelling","warm","grocery",0,1,0,"morning"
1,109,109,0,"weekday","afternoon","shopping","unknown","grocery",1,1,0,"midday"
1,112,112,0,"weekday","beforelunch","travelling","cold","restaurant",0,1,0,"midday"
