"pid","day","daysInStudy","day_zero","time_type","time_time","situation_major","weather_temperature","notification_type","engagement","S1","S2","time_time_simple"
1,0,0,0,"weekday","afternoon","travelling","cold","grocery",1,0,0,"midday"
1,3,3,0,"weekend","afternoon","travelling","cold","restaurant",0,0,0,"midday"
1,6,6,0,"weekday","morning","morningrituals","cold","grocery",0,0,0,"morning"
1,8,8,0,"weekday","lunch","travelling","freezing","grocery",0,0,0,"midday"
1,9,9,0,"weekday","lunch","travelling","cold","restaurant",1,0,0,"midday"
1,10,10,0,"weekday","afternoon","travelling","hot","restaurant",0,0,0,"midday"
1,11,11,0,"weekday","morning","travelling","freezing","grocery",0,0,0,"morning"
1,13,13,0,"weekday","dinner","travelling","cold","grocery",1,0,0,"night"
1,14,14,0,"weekday","morning","travelling","cold","grocery",0,0,0,"morning"
1,15,15,0,"weekday","lunch","travelling","unknown","restaurant",1,0,0,"midday"
1,16,16,0,"weekday","lunch","travelling","cold","grocery",0,0,0,"midday"
1,17,17,0,"weekday","breakfast","working","unknown","grocery",0,0,0,"morning"
1,18,18,0,"weekday","lunch","travelling","cold","grocery",1,0,0,"midday"
1,19,19,0,"weekday","breakfast","working","cold","grocery",1,0,0,"morning"
1,21,21,0,"weekday","afternoon","travelling","freezing","restaurant",0,0,0,"midday"
1,22,22,0,"weekday","afternoon","working","freezing","restaurant",0,0,0,"midday"
1,24,24,0,"weekday","afternoon","unknown","unknown","grocery",1,0,0,"midday"
1,25,25,0,"weekend","breakfast","travelling","unknown","grocery",1,0,0,"morning"
1,28,28,0,"weekday","breakfast","travelling","unknown","restaurant",1,0,0,"morning"
1,31,31,0,"weekday","beforelunch","unknown","cold","restaurant",0,0,0,"midday"
1,32,32,0,"weekday","morning","shopping","cold","grocery",0,0,0,"morning"
1,35,35,0,"weekday","lunch","travelling","unknown","grocery",0,0,0,"midday"
1,36,36,0,"weekend","afternoon","travelling","warm","restaurant",0,0,0,"midday"
1,37,37,0,"weekday","morning","travelling","cold","grocery",0,0,0,"morning"
1,39,39,0,"weekday","dinner","working","warm","grocery",1,0,0,"night"
1,40,40,0,"weekday","lunch","leisure","freezing","grocery",1,0,0,"midday"
1,42,42,0,"weekday","unknown","travelling","hot","restaurant",1,0,0,"unknown"
1,43,43,0,"weekend","breakfast","working","freezing","grocery",0,0,0,"morning"
1,44,44,0,"weekend","dinner","unknown","warm","grocery",0,0,0,"night"
1,45,45,0,"weekend","morning","travelling","hot","restaurant",0,0,0,"morning"
1,46,46,0,"weekday","breakfast","travelling","unknown","grocery",0,0,0,"morning"
1,47,47,0,"weekday","afternoon","travelling","unknown","restaurant",0,0,0,"midday"
1,48,48,0,"weekday","earlymorning","working","hot","restaurant",0,0,0,"morning"
1,49,49,0,"weekend","night","travelling","freezing","grocery",0,0,0,"night"
1,50,50,0,"weekday","lunch","travelling","unknown","grocery",0,0,0,"midday"
1,51,51,0,"weekday","earlymorning","unknown","unknown","restaurant",1,0,0,"morning"
1,52,52,0,"weekday","unknown","working","unknown","grocery",1,0,0,"unknown"
1,53,53,0,"weekend","afternoon","travelling","cold","restaurant",0,0,0,"midday"
1,54,54,0,"weekday","beforelunch","shopping","cold","restaurant",0,0,0,"midday"
1,55,55,0,"weekday","lunch","travelling","freezing","restaurant",1,0,0,"midday"
